refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
SRFORA07,OC=O,Sr,1.71285,1.3077,1.70565,1.0,0.75,0.0,2.998243630613123,215
SRFORM02,OC=O,Sr,1.90135,0.87938,1.66585,0.0007572737052445434,0.75,0.0,2.994445851888913,215
SROXAL01,OC(=O)C(=O)O,Sr,3.58945,1.72746,3.58945,0.9999164161611958,0.6666666666666666,0.6666666666666666,1.9972410419304412,609
SUCCUR,OC(=O)CCC(=O)O,U,2.16871,1.18297,2.16195,0.26646933874122164,1.0,0.16666666666666666,3.709980002703994,185
SUCCUR01,OC(=O)CCC(=O)O,U,1.7409,1.08606,1.71593,0.9998594912147516,0.75,0.0,2.811177793312716,185
SUCLOT,OC(=O)c1ccc(cc1)C(=O)O,Ca,3.812,1.44866,3.812,0.10679977551833174,0.623931623931624,0.06565886881367541,63.76728299767782,70
SUDNIQ,OC(=O)C(CC(=O)O)CC(=O)O,Pb,1.58658,0.81903,1.58658,0.1981511605179591,1.0,0.0,1.680663095666517,791
SUDRIU,OC(=O)c1ccc(cc1c1cccc(c1)C(=O)O)C(=O)O,Zn,2.85258,1.4519,2.85258,0.6415341147566883,0.14513274336283186,0.0006177711137854918,134.1358811292207,1
SUFROA,N#Cc1cc(C#N)c(cc1C#N)C#N,Cu,5.45181,5.00801,5.45026,0.9999991329597129,0.8333333333333333,0.013333333333333334,4.397113506658124,72
SUGSOE,OC(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(c2c1cccc2)C(=O)O)c1ccc(c(c1)N)C(=O)O,Zn,11.20661,9.84453,11.18354,0.13257993477325047,0.05132743362831858,0.00032915214911515835,47.56288810130395,1
SUGTAR,OC(=O)c1c(F)cc(cc1F)c1cc(cc(c1)c1cc(F)c(c(c1)F)C(=O)O)c1cc(F)c(c(c1)F)C(=O)O,Zn,7.15733,5.93276,7.15676,0.40038420537345837,0.375,0.004629629629629629,5.080259595121052,160
