2025-05-16 11:21:37,981 - WARNING - Unknown metal Ni for node AVELUJ, defaulting to Cu
2025-05-16 11:21:37,982 - WARNING - Unknown metal Ni for node AVEMAQ, defaulting to Cu
2025-05-16 11:21:37,985 - WARNING - Unknown metal Cd for node AVEROJ, defaulting to Cu
2025-05-16 11:21:37,986 - WARNING - Unknown metal Cd for node AVERUP, defaulting to Cu
2025-05-16 11:21:37,987 - WARNING - Unknown metal Cd for node AVESAW, defaulting to Cu
2025-05-16 11:21:37,988 - WARNING - Unknown metal Cd for node AVESEA, defaulting to Cu
2025-05-16 11:21:37,990 - WARNING - Unknown metal Cd for node AVESIE, defaulting to Cu
2025-05-16 11:21:37,992 - WARNING - Unknown metal Cd for node AVESUR, defaulting to Cu
2025-05-16 11:21:37,995 - WARNING - Unknown metal Cd for node AVETEC, defaulting to Cu
2025-05-16 11:21:37,999 - WARNING - Unknown metal Cd for node AVEVEE02, defaulting to Cu
2025-05-16 11:21:38,001 - WARNING - Unknown metal Mn for node AVEVOO02, defaulting to Cu
2025-05-16 11:21:38,003 - WARNING - Unknown metal Ho for node AVIHIY, defaulting to Cu
2025-05-16 11:21:38,004 - WARNING - Unknown metal Tm for node AVIHOE, defaulting to Cu
2025-05-16 11:21:38,005 - WARNING - Unknown metal Mn for node AVILAT, defaulting to Cu
2025-05-16 11:21:38,009 - WARNING - Unknown metal Mn for node AVIMUO, defaulting to Cu
2025-05-16 11:21:38,010 - WARNING - Unknown metal Mg for node AVIPAX, defaulting to Cu
2025-05-16 11:21:38,012 - WARNING - Unknown metal Mg for node AVIPOL, defaulting to Cu
2025-05-16 11:21:38,014 - WARNING - Unknown metal Ag for node AVIVAC, defaulting to Cu
2025-05-16 11:21:38,016 - WARNING - Unknown metal Ag for node AVIVEG, defaulting to Cu
2025-05-16 11:21:38,017 - WARNING - Unknown metal Ag for node AVIVOQ, defaulting to Cu
2025-05-16 11:21:38,018 - WARNING - Unknown metal Ag for node AVIVUW, defaulting to Cu
2025-05-16 11:21:38,019 - WARNING - Unknown metal Ag for node AVOFUM, defaulting to Cu
2025-05-16 11:21:38,021 - WARNING - Unknown metal Ag for node AVOGAT, defaulting to Cu
2025-05-16 11:21:38,022 - WARNING - Unknown metal Ag for node AVOGAT01, defaulting to Cu
2025-05-16 11:21:38,023 - WARNING - Unknown metal Ag for node AVOGEX, defaulting to Cu
2025-05-16 11:21:38,024 - WARNING - Unknown metal Cd for node AVOQOT, defaulting to Cu
2025-05-16 11:21:38,028 - WARNING - Unknown metal Na for node AVUFED, defaulting to Cu
2025-05-16 11:21:38,029 - WARNING - Unknown metal Na for node AVUFED01, defaulting to Cu
2025-05-16 11:21:38,031 - WARNING - Unknown metal Mn for node AVUKUY, defaulting to Cu
2025-05-16 11:21:38,032 - WARNING - Unknown metal Mn for node AVULAF, defaulting to Cu
2025-05-16 11:21:38,033 - WARNING - Unknown metal Mn for node AVULEJ, defaulting to Cu
2025-05-16 11:21:38,034 - WARNING - Unknown metal Zr for node AVUPIR, defaulting to Cu
2025-05-16 11:21:38,036 - WARNING - Unknown metal Zr for node AVUPOX, defaulting to Cu
2025-05-16 11:21:38,037 - WARNING - Unknown metal Pr for node AVUYAR, defaulting to Cu
2025-05-16 11:21:38,041 - WARNING - Unknown metal Ag for node AWEJAO, defaulting to Cu
2025-05-16 11:21:38,044 - WARNING - Unknown metal Cd for node AWEJIW, defaulting to Cu
2025-05-16 11:21:38,045 - WARNING - Unknown metal K for node AWELAP, defaulting to Cu
2025-05-16 11:21:38,047 - WARNING - Unknown metal Na for node AWEMUL, defaulting to Cu
2025-05-16 11:21:38,053 - WARNING - Unknown metal Mn for node AWEYUX, defaulting to Cu
2025-05-16 11:21:38,054 - WARNING - Unknown metal Mn for node AWEZAE, defaulting to Cu
2025-05-16 11:21:38,055 - WARNING - Unknown metal Mn for node AWEZEI, defaulting to Cu
2025-05-16 11:21:38,060 - WARNING - Unknown metal Lu for node AWIBAL, defaulting to Cu
2025-05-16 11:21:38,063 - WARNING - Unknown metal Lu for node AWIBEP, defaulting to Cu
2025-05-16 11:21:38,065 - WARNING - Unknown metal Ce for node AWOFOI, defaulting to Cu
2025-05-16 11:21:38,067 - WARNING - Unknown metal Cs for node AWOJOM, defaulting to Cu
2025-05-16 11:21:38,069 - WARNING - Unknown metal Ce for node AXAWUT, defaulting to Cu
