refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Community ID,Gravity,Degree Centrality,Betweenness Centrality,Edge Weight Sum
SENSOW,Cc1c(c2c(C)c(c3cc(cc(c3)C(=O)O)C(=O)O)c(c(c2C)c2cc(cc(c2)C(=O)O)C(=O)O)[C])c(C)c(c(c1c1cc(cc(c1)C(=O)O)C(=O)O)[C])c1cc(cc(c1)C(=O)O)C(=O)O,Cu,10.41361,5.9679,10.41299,3,0.19183230463425796,0.09535864978902954,5.44679948687671e-07,95.11043313467427
SENXAN,OC(=O)c1ccc2c(c1)c1ccc(cc1c1c2cc(cc1)C(=O)O)C(=O)O,Eu,8.66927,7.56123,8.66927,8,0.3088721887923455,0.2874493927125506,0.0009694344071783626,59.40290157288746
SENXER,OC(=O)c1ccc2c(c1)c1ccc(cc1c1c2cc(cc1)C(=O)O)C(=O)O,Eu,6.37631,4.67938,6.36995,8,0.3322142448797949,0.3076923076923077,0.0013035969970446848,63.543539196958754
SEQSEO01,OC(=O)c1ccc(cc1)c1cncc(c1)C(=O)O,Ni,2.08829,1.11482,2.05181,12,0.5090053350790528,0.35416666666666663,0.00785929937529634,57.13967271330641
SEQSIS,OC(=O)c1ccc(cc1)c1cncc(c1)C(=O)O,Ni,5.53293,4.93127,5.52029,12,0.484269480171291,0.33854166666666663,0.0068104756074263756,54.58856370620216
SEQSOY,OC(=O)c1ccc(cc1)c1cncc(c1)C(=O)O,Co,5.96178,5.42402,5.93588,0,0.30494255745902893,0.20391061452513967,0.001275021284774346,122.84131644506488
SEQSUE,OC(=O)c1ccc(cc1)c1cncc(c1)C(=O)O,Ni,3.46717,1.06005,3.45706,12,0.47576873928947655,0.3333333333333333,0.006516606494197738,53.64522217033045
SEQWIW,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,La,2.66993,1.90082,2.65775,7,0.7023327391611279,0.32903225806451614,0.1423798013855731,43.91407176643255
SEQWOC,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Ce,2.65453,2.08649,2.64307,27,0.4723203421067171,0.4418604651162791,0.014068735873953183,33.502490105966835
SEQWUI,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Pr,2.58875,2.09305,2.57903,30,0.4969022394539906,0.23529411764705882,0.04822848130173149,20.822106236195523
SEQXAP,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Nd,2.69104,1.98424,2.65101,28,0.48513488085467754,0.31007751937984496,0.03698213343149273,34.43480015315963
SEQXET,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Sm,2.6697,2.01375,2.6697,26,0.43308426452643856,0.3888888888888889,0.017784007902284654,30.505292439288418
SERKOQ,OC(=O)c1ccc(cc1)C(=O)O,Zn,7.1432,5.32208,7.1432,5,0.6847771246225766,0.4874731567644953,0.003520883337527126,597.8212885723665
SERTER,OC(=O)c1c(cccc1C(=O)O)Oc1cc(cc(c1)C(=O)O)C(=O)O,Dy,1.81684,1.04,1.73044,22,0.14674668281196146,0.1415929203539823,0.0012996911232293859,13.274709075449696
SERTER01,OC(=O)c1c(cccc1C(=O)O)Oc1cc(cc(c1)C(=O)O)C(=O)O,Dy,1.82805,1.05216,1.74232,22,0.1467472678345913,0.1415929203539823,0.0012996911232293859,13.274813815718904
SESRUG,O[C@@H]1N2N3[C@@]2(N[C@]2(N1N2[C@H]3O)Nc1cc(cc(c1)C(=O)O)C(=O)O)Nc1cc(cc(c1)C(=O)O)C(=O)O,Cu,8.6669,3.83581,8.6669,3,0.11165581328523833,0.07679324894514768,0.0,73.73008267959344
SETFUT,OC(=O)c1ccc(c2c1cccc2)C(=O)O,Cd,1.94363,1.16458,1.94099,16,0.4915796187650618,0.0326197757390418,0.0012068665807328568,26.752647757057254
SETQAL,OC(=O)c1ccc(cc1)C(=O)O,Fe,4.42679,4.26632,4.42679,42,0.6555362484119509,0.6086956521739131,0.00908518726209343,74.7269149788118
SETQEP,OC(=O)c1ccc(cc1)C(=O)O,Fe,4.49444,4.34625,4.49444,42,0.65551449683677,0.6086956521739131,0.00908518726209343,74.72187880911443
SETQIT,OC(=O)c1ccc(cc1)C(=O)O,Fe,4.41727,4.22902,4.41727,42,0.6642291702117761,0.6159420289855072,0.00930859790583204,75.53663240460624
SETQOZ,OC(=O)c1ccc(cc1)C(=O)O,Fe,7.77892,7.20448,7.77842,42,0.673210507699075,0.6231884057971014,0.00955337807734305,76.38291342384181
SETQUF,OC(=O)c1ccc(cc1)C(=O)O,Fe,7.79123,7.22765,7.79123,42,0.673201465573492,0.6231884057971014,0.00955337807734305,76.38081988907561
SETRAM,OC(=O)c1ccc(cc1)C(=O)O,Fe,8.05582,7.60574,8.05085,42,0.6730969450758009,0.6231884057971014,0.00955337807734305,76.35662012612283
SETVOF,O=C(c1cc(cc(c1)C(=O)NCC(=O)O)C(=O)NCC(=O)O)NCC(=O)O,Cu,3.33788,2.2915,3.33564,304,1.0,1.0,0.5,3.362528243888274
SEVROC,OC(=O)c1ccc(cc1)C(=O)O,Sr,1.65969,1.06089,1.65736,130,0.7547861450862685,0.5882352941176471,0.03946100842713651,35.195551144718586
SEVWEV,OC(=O)c1cc(ccc1C(=O)O)C(=O)O,Nd,2.8976,2.57213,2.8976,28,0.362154000218678,0.2248062015503876,0.039781619465126615,24.27510952028425
SEVWEY,OC(=O)c1cc(cc(c1)C(=O)O)c1cccc(c1)c1cc(cc(c1)C(=O)O)C(=O)O,Cd,6.859,4.82604,6.60387,16,0.2452245509701092,0.14373088685015292,0.0009688136628933577,119.85393228222176
SEVWIC,OC(=O)c1cc(cc(c1)C(=O)O)c1cccc(c1)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,5.54341,1.98572,5.5164,5,0.3198750022773243,0.23765211166785968,0.0005893181400444738,279.803911602263
SEYFAE,OC(=O)CN(CP(=O)(O)O)CC(=O)O,Er,3.37424,2.6231,3.30175,720,0.0,1.0,0.0,0.8640930978220736
SEYQIW,OC(=O)C(=O)O,Zn,5.89707,5.20358,5.89707,195,0.17661056730317645,1.0,0.0,5.987934145138186
SEZCIM,CCCC1=N[C@H](C(=N1)C(=O)O)C(=O)O,Co,2.56488,1.22684,2.51413,750,0.3333333333333333,1.0,0.0,2.9998457839267276
SEZCIM01,CCCC1=N[C@H](C(=N1)C(=O)O)C(=O)O,Co,2.51962,1.22788,2.51962,750,0.094167031168278,1.0,0.0,2.9997613516624364
SEZCOS,CCCC1=N[C@H](C(=N1)C(=O)O)C(=O)O,Co,2.79464,1.2386,2.76149,750,0.10965367573347369,1.0,0.0,2.999766818872721
SEZCUY,CCCC1=N[C@H](C(=N1)C(=O)O)C(=O)O,Co,2.63191,1.17501,2.48407,750,0.0,1.0,0.0,2.9997281081177096
SGLUTM01,OC(=O)CC[C@@H](C(=O)O)N,Na,1.88956,0.93855,1.28813,313,0.4424228297128781,0.2,0.0,1.8085461731605517
SGLUTM02,OC(=O)CC[C@@H](C(=O)O)N,Na,1.92262,0.98128,1.37175,313,0.006972008949618293,0.2,0.0,1.8092531877449112
SIBCAK,OC(=O)CN1CC(=O)CC(=C1)C(=O)O,Pb,2.66799,1.76677,2.66799,751,0.0,1.0,0.0,0.8198863858283812
SIBJAP,OC(=O)CCC(=O)O,Er,2.88761,1.58509,2.66476,378,0.9994708535779506,1.0,0.025,4.622624113908453
SIBMEY,OC(=O)CN1C=C(O)CC(=C1)C(=O)O,Pb,3.97012,1.10188,3.96447,751,0.0,1.0,0.0,0.8198863858283812
SIBVUX,Oc1cc(nc(c1)C(=O)O)C(=O)O,Pr,1.95059,0.94008,1.95059,30,0.2570626711253194,0.14705882352941177,0.01011219745699555,12.488810761021995
SICRAA,OC(=O)c1cc(O)c(cc1O)C(=O)O,Co,11.44406,10.8392,11.44222,0,0.12214079779208643,0.07960893854748603,1.0148678739401917e-05,53.498817706158185
SICRUU,OC(=O)c1cc(C(=O)O)c(cc1O)O,Co,11.13489,9.96,11.13489,0,0.3409696995633292,0.0782122905027933,3.989017518615074e-06,52.458829671652374
SIDCAL,OC(=O)c1cc(cc(c1)C(C)(C)C)C(=O)O,Cd,9.18075,7.95829,9.18075,16,0.10834285478623461,0.0652395514780836,2.3843082416161236e-06,54.62528296381855
SIDRUT,OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,Tl,1.50974,0.77219,1.45347,662,0.007353358571569657,0.16666666666666666,0.0,0.8444846218309359
SIDXOV,OC(=O)c1cc(cc(c1)c1ccncc1)c1ccncc1,Co,16.28209,4.61889,16.27467,0,0.3138473665047536,0.20391061452513967,0.002511381825040968,125.14760462641738
SIDXUB,OC(=O)c1cc(c2ccncc2)c(c(c1)c1ccncc1)C,Co,9.8519,5.87138,9.29851,0,0.1786194035828382,0.11871508379888268,0.0012212945802216892,71.15347052145003
